,country,year,iso_code,gdp_p_cap,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_other_co2,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1391,Ukraine,2005,UKR,7279,46890772,399366225920,4.785,0.102,313.118,2.755,0.89,6.678,0.784,0.196,135.905,2.898,244.623,5.217,0.613,337.124,26477.096,14900.077,131.159,4939.835,6105.674,63.226,34238.988,4.02,2.472,0.053,129.9,2.77,7.621,7.103,43.57,0.929,18.09,0.386,36.31,0.774,0.08,3.745,1605.493,0.5,1.06,1.17,1.49,2.24,2.58,1.09,3.37,1.46,1.23,0.74,2.41,0.33,1.55,333.05,357.35,-68.495,-21.88
1392,Ukraine,2010,UKR,7824,45792084,439429758976,2.882,0.063,294.078,16.785,6.05,6.422,0.669,0.208,145.421,3.176,244.875,5.347,0.557,360.538,28043.035,15652.259,144.227,5489.329,6315.757,80.925,31160.729,3.247,2.618,0.057,100.188,2.188,7.153,6.618,38.11,0.832,19.88,0.434,39.808,0.869,0.069,3.161,1426.915,0.23,0.88,1.04,1.27,2.09,2.44,1.04,3.12,1.33,1.26,0.71,1.61,0.35,1.29,303.06,327.54,-49.204,-16.73
1393,Ukraine,2015,UKR,7465,44921636,398132477952,3.278,0.073,223.822,-33.686,-13.08,4.983,0.562,0.225,119.393,2.658,195.561,4.353,0.491,377.694,29433.545,16383.045,156.86,5920.896,6497.159,97.892,22336.852,2.52,2.382,0.053,65.547,1.459,5.511,5.199,33.5,0.746,22.51,0.501,30.487,0.679,0.061,2.735,1003.408,0.23,0.63,0.81,1.07,1.94,2.29,1,2.84,1.22,1.25,0.64,0.97,0.26,0.91,233.56,247.55,-28.261,-12.63
1394,United Arab Emirates,1990,ARE,112350,1828437,40641368064,1.36,0.744,51.704,-2.482,-4.58,28.278,1.272,0.15,NA,NA,56.145,30.706,1.382,15.348,825.1,NA,367.673,232.183,209.896,NA,188659.875,8.488,2.019,1.104,30.701,16.791,40.062,40.062,16.46,9.002,0.51,0.279,17.624,9.639,NA,NA,344.953,0.27,0.23,NA,0.13,0.1,NA,4.5,0.3,0.08,NA,0.8,0.8,0.19,NA,73.25,73.25,4.441,8.59
1395,United Arab Emirates,1995,ARE,102387,2415099,75357175808,2.379,0.985,70.012,-2.592,-3.57,28.989,0.929,0.144,NA,NA,77.57,32.119,1.029,24.385,1147.713,NA,372.579,424.723,326.026,NA,200766.516,6.434,0.693,0.287,44.875,18.581,40.305,40.305,20.37,8.434,0.75,0.311,22.066,9.137,NA,NA,484.871,0.38,0.3,NA,0.16,0.12,NA,3.97,0.43,0.1,NA,0.29,1.06,0.24,NA,97.34,97.34,7.558,10.79
1396,United Arab Emirates,2000,ARE,103318,3134067,153035276288,2.358,0.752,111.787,34.243,44.16,35.668,0.73,0.209,NA,NA,103.094,32.895,0.674,36.743,1563.602,NA,384.117,705.337,437.405,NA,170954.203,3.501,2.481,0.791,60.331,19.25,34.785,34.785,22,7.02,0.9,0.287,46.617,14.874,NA,NA,535.782,0.33,0.44,NA,0.2,0.15,NA,3.63,0.58,0.12,NA,0.92,1.27,0.45,NA,109.02,109.02,-8.693,-7.78
1397,United Arab Emirates,2005,ARE,91625,4588222,300624052224,3.484,0.759,114.478,2.676,2.39,24.95,0.381,0.162,0.55,0.12,163.981,35.739,0.545,51.252,2079.789,1.876,391.078,1064.302,571.281,NA,153566.688,2.344,1.788,0.39,78.226,17.049,32.714,32.714,30.89,6.732,1.25,0.272,30.43,6.632,NA,NA,704.598,0.36,0.39,0,0.23,0.18,0,3.24,0.73,0.14,NA,0.54,1.45,0.27,NA,150.1,150.1,49.503,43.24
1398,United Arab Emirates,2010,ARE,55363,8549998,513346961408,6.453,0.755,180.622,15.122,9.14,21.125,0.352,0.186,2.477,0.29,205.977,24.091,0.401,82.752,2834.882,8.35,400.385,1576.298,767.096,NA,113741.742,1.894,1.869,0.219,116.867,13.669,23.613,23.613,35.72,4.178,1.6,0.187,52.956,6.194,NA,NA,972.492,0.52,0.54,0.02,0.29,0.21,0,2.89,0.9,0.16,NA,0.51,1.88,0.47,NA,201.89,201.89,25.355,14.04
1399,United Arab Emirates,2015,ARE,65789,9262896,691538493440,7.16,0.773,216.583,14.656,7.26,23.382,0.313,0.175,6.504,0.702,229.172,24.741,0.331,113.418,3853.322,35.977,410.161,2242.986,1050.78,NA,132891.828,1.78,2.004,0.216,134.157,14.483,26.473,26.473,45.71,4.935,1.77,0.191,66.758,7.207,NA,NA,1230.963,0.5,0.61,0.04,0.32,0.25,0.01,2.61,1.07,0.2,NA,0.54,1.98,0.56,NA,245.22,245.22,12.589,5.81
1400,United Kingdom,1990,GBR,26675,57134380,1505692221440,7.295,0.128,600.344,18.768,3.23,10.508,0.399,0.24,252.443,4.418,668.421,11.699,0.444,360.712,62703,52776.957,119.225,1773.019,7669.591,3.501,43903.398,1.666,7.476,0.131,110.889,1.941,13.063,12.845,109.01,1.908,58.12,1.017,218.739,3.829,0.061,3.501,2508.394,1.46,2.64,2.9,2.97,7.76,12.06,1.46,2.26,2.85,0.19,2.95,2.89,2.37,1.57,733.87,746.35,68.077,11.34
