,country,year,iso_code,gdp_p_cap,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_other_co2,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
331,Cyprus,1990,CYP,22472,766616,10601790464,0.668,0.871,4.652,0.222,5.01,6.068,0.439,0.241,0.232,0.302,6.705,8.746,0.632,10.26,80.507,1.635,NA,0.002,68.56,0.049,25142.361,1.818,NA,NA,0.002,0.002,7.096,7.005,0.53,0.691,0.32,0.417,3.701,4.828,0.064,0.049,19.275,0.13,0.02,0,0.08,0.01,0,NA,0,0.03,0,NA,0,0.04,0.02,5.37,5.44,2.053,44.14
332,Cyprus,1995,CYP,25524,855391,14339872768,0.751,0.878,5.872,-0.128,-2.14,6.865,0.41,0.233,0.048,0.056,7.684,8.983,0.536,13.856,108.796,2.116,NA,0.01,92.54,0.274,29496.07,1.759,NA,NA,0.002,0.002,7.961,7.879,0.59,0.69,0.37,0.433,5.028,5.879,0.051,0.043,25.231,0.12,0.03,0,0.09,0.01,0,NA,0,0.03,0.01,NA,0,0.05,0.02,6.74,6.81,1.812,30.85
333,Cyprus,2000,CYP,29368,943288,18206158848,0.763,0.809,7.12,0.246,3.58,7.548,0.391,0.235,0.117,0.124,9.838,10.43,0.54,17.689,141.93,2.455,NA,0.016,121.296,0.474,32080.451,1.662,NA,NA,0.002,0.002,8.64,8.576,0.64,0.678,0.36,0.382,6.199,6.571,0.042,0.04,30.261,0.11,0.03,0,0.1,0.01,0,NA,0,0.03,0.01,NA,0,0.06,0.02,8.09,8.15,2.718,38.17
334,Cyprus,2005,CYP,33629,1027657,22703857664,0.788,0.767,7.955,0.154,1.98,7.741,0.35,0.227,0.152,0.148,9.662,9.402,0.426,21.547,179.438,3.125,NA,0.019,153.958,0.789,34051.035,1.541,NA,NA,0.001,0.001,8.777,8.524,0.67,0.652,0.36,0.35,6.941,6.754,0.07,0.072,34.993,0.08,0.03,0,0.1,0.02,0,NA,0,0.04,0.02,NA,0,0.06,0.03,8.76,9.02,1.707,21.46
335,Cyprus,2010,CYP,33913,1112617,26927026176,0.555,0.499,8.1,-0.369,-4.36,7.28,0.301,0.238,0.071,0.064,13.37,12.017,0.496,25.227,221.404,3.634,NA,0.024,191.392,1.127,30608.947,1.265,NA,NA,0.001,0.001,8.278,8.044,0.69,0.62,0.39,0.351,7.438,6.685,0.031,0.035,34.056,0.04,0.02,0,0.09,0.02,0,NA,0,0.04,0.02,NA,0,0.07,0.01,8.95,9.21,5.27,65.07
336,Cyprus,2015,CYP,30673,1160987,24862126080,0.877,0.756,6.97,0.021,0.3,6.004,0.28,0.24,0.015,0.013,7.511,6.469,0.302,28.881,256.953,3.691,NA,0.027,223.143,1.212,25137.641,1.174,NA,NA,0,0,7.072,6.805,0.71,0.612,0.35,0.301,6.067,5.226,0.009,0.011,29.184,0.06,0.02,0,0.08,0.02,0,NA,0,0.04,0.02,NA,0,0.05,0,7.9,8.21,0.541,7.75
337,Czechia,1990,CZE,20023,10340877,146168283136,2.489,0.241,164.203,-5.42,-3.2,15.879,1.123,0.301,123.28,11.922,150.84,14.587,1.032,39.208,8292.873,7288.794,0.458,158.347,803.284,2.781,52872.113,3.741,0.458,0.044,12.564,1.215,17.596,16.684,23.66,2.288,8.02,0.776,22.63,2.188,0.269,2.781,546.744,0.5,0.72,1.41,0.32,1.03,1.67,0.01,0.2,0.3,0.15,0.18,0.33,0.25,1.25,172.53,181.96,-13.362,-8.14
338,Czechia,1995,CZE,19271,10358190,149915926528,2.005,0.194,131.601,-0.77,-0.58,12.705,0.878,0.271,94.803,9.153,123.346,11.908,0.823,50.393,8988.987,7797.668,2.361,227.659,902.228,8.677,46940.051,3.243,0.362,0.035,15.627,1.509,14.367,13.457,17.99,1.737,5.53,0.534,17.677,1.707,0.109,1.125,486.214,0.32,0.56,1.07,0.34,0.97,1.62,0.03,0.23,0.29,0.3,0.15,0.37,0.19,0.51,139.39,148.82,-8.255,-6.27
339,Czechia,2000,CZE,21194,10289374,174508441600,1.937,0.188,127.127,10.513,9.02,12.355,0.729,0.269,86.838,8.44,118.362,11.503,0.678,60.561,9623.718,8229.778,4.032,319.153,993.716,16.477,46113.484,2.719,0.322,0.031,18.131,1.762,14.005,13.087,14.98,1.456,5.53,0.537,18.089,1.758,0.176,1.81,474.479,0.27,0.5,0.96,0.33,0.92,1.57,0.04,0.26,0.27,0.41,0.12,0.38,0.18,0.84,134.66,144.1,-8.766,-6.9
340,Czechia,2005,CZE,25781,10258165,225438384128,1.625,0.158,125.679,-2.491,-1.94,12.252,0.558,0.243,80.628,7.86,109.491,10.674,0.486,68.329,10255.942,8645.224,5.649,413.825,1097.555,25.362,50629.496,2.304,0.314,0.031,18.755,1.828,13.65,12.972,14.04,1.369,5.09,0.496,22.572,2.2,0.174,1.786,519.366,0.17,0.42,0.7,0.3,0.87,1.5,0.05,0.28,0.26,0.49,0.09,0.35,0.2,0.74,133.07,140.02,-16.187,-12.88
341,Czechia,2010,CZE,28353,10536514,270895333376,1.469,0.139,117.603,2.365,2.05,11.161,0.434,0.23,74.689,7.089,119.622,11.353,0.442,77.152,10866.58,9037.356,7.112,501.695,1209.281,33.986,48744.484,1.896,0.267,0.025,18.394,1.746,12.599,11.939,13.82,1.312,4.55,0.432,21.149,2.007,0.155,1.636,513.597,0.12,0.35,0.53,0.27,0.81,1.41,0.05,0.29,0.25,0.53,0.07,0.3,0.19,0.67,125.8,132.75,2.018,1.72
342,Czechia,2015,CZE,30605,10601390,296649588736,1.558,0.147,104.865,0.77,0.74,9.892,0.354,0.225,64.743,6.107,103.103,9.725,0.348,84.706,11408.523,9379.242,8.237,582.975,1312.292,41.071,44400.203,1.587,0.192,0.018,15.909,1.501,11.363,11.02,12.76,1.204,5.55,0.524,21.268,2.006,0.113,1.195,470.704,0.11,0.3,0.44,0.24,0.75,1.31,0.05,0.28,0.25,0.52,0.05,0.23,0.18,0.4,116.83,120.46,-1.762,-1.68
349,Denmark,1990,DNK,33786,5141117,151205740544,0.882,0.172,53.573,4.765,9.76,10.421,0.354,0.266,24.005,4.669,61.701,12.001,0.408,45.106,2554.714,1323.625,4.353,17.496,1163.308,0.825,39283.488,1.336,0.341,0.066,4.35,0.846,13.39,13.458,9.43,1.834,7.3,1.42,23.17,4.507,0.16,0.825,201.961,0.18,0.24,0.28,0.37,0.32,0.3,0.05,0.02,0.43,0.04,0.13,0.11,0.25,0.37,69.19,68.84,8.127,15.17
350,Denmark,1995,DNK,37238,5232709,174565621760,1.204,0.23,61.602,-3.087,-4.77,11.773,0.353,0.253,25.6,4.892,67.846,12.966,0.389,50.99,2864.2,1467.957,7.295,47.552,1286.318,4.088,46557.086,1.396,0.454,0.087,7.574,1.447,14.633,14.698,9.65,1.844,6.64,1.269,26.007,4.97,0.146,0.764,243.62,0.19,0.26,0.29,0.34,0.31,0.31,0.08,0.05,0.41,0.14,0.19,0.18,0.28,0.34,76.91,76.57,6.244,10.14
351,Denmark,2000,DNK,42338,5341192,208358719488,1.385,0.259,54.292,-4.344,-7.41,10.165,0.261,0.231,15.657,2.931,65.482,12.26,0.314,57.744,3178.649,1585.793,10.844,97.373,1419.749,7.146,44282.137,1.135,0.724,0.135,10.64,1.992,13.051,13.106,9.93,1.859,6.44,1.206,25.35,4.746,0.1,0.535,236.519,0.19,0.22,0.17,0.32,0.3,0.3,0.1,0.08,0.39,0.18,0.27,0.22,0.25,0.25,70,69.71,11.191,20.61
352,Denmark,2005,DNK,44568,5421701,229050957824,1.363,0.252,51.506,-3.57,-6.48,9.5,0.225,0.223,14.602,2.693,67.261,12.406,0.294,64.701,3457.275,1673.344,14.26,152.632,1542.922,9.416,43039.082,1.019,0.548,0.101,10.69,1.972,12.236,12.232,9.72,1.793,5.43,1.002,23.857,4.4,0.082,0.446,233.345,0.14,0.17,0.13,0.29,0.29,0.29,0.12,0.1,0.37,0.18,0.17,0.2,0.21,0.19,66.32,66.34,15.755,30.59
353,Denmark,2010,DNK,43998,5554849,238176026624,0.672,0.121,49.171,0.354,0.73,8.852,0.206,0.215,15.351,2.764,62.815,11.308,0.264,70.095,3720.566,1761.044,16.336,203.059,1658.658,11.374,41885.332,0.977,0.353,0.064,10.569,1.903,11.37,11.367,9.05,1.629,4.98,0.897,21.912,3.945,0.056,0.313,232.667,0.05,0.15,0.11,0.25,0.28,0.27,0.12,0.12,0.35,0.18,0.1,0.17,0.19,0.13,63.14,63.16,13.645,27.75
354,Denmark,2015,DNK,45788,5688695,253683007488,0.932,0.164,35.204,-2.34,-6.23,6.188,0.139,0.181,7.243,1.273,50.838,8.937,0.2,74.514,3919.115,1814.182,17.547,242.12,1757.615,13.138,35042.191,0.786,0.247,0.043,6.907,1.214,8.417,8.074,8.2,1.441,5.26,0.925,19.559,3.438,0.055,0.315,199.344,0.06,0.1,0.05,0.21,0.26,0.25,0.11,0.12,0.33,0.17,0.07,0.1,0.16,0.1,45.93,47.88,15.634,44.41
361,Dominica,1990,DMA,6658,70422,275729984,NA,NA,0.059,0,0,0.832,0.213,0.223,NA,NA,NA,NA,NA,NA,0.989,NA,NA,NA,0.989,NA,3729.201,0.952,NA,NA,NA,NA,2.698,3.408,0.1,1.42,0.03,0.426,0.059,0.832,NA,NA,0.263,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0.24,0.19,NA,NA
362,Dominica,1995,DMA,7180,71105,327078080,NA,NA,0.081,0.015,22.22,1.134,0.246,0.194,NA,NA,NA,NA,NA,NA,1.315,NA,NA,NA,1.315,NA,5840.384,1.27,NA,NA,NA,NA,2.953,3.657,0.09,1.266,0.03,0.422,0.081,1.134,NA,NA,0.415,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0.26,0.21,NA,NA
363,Dominica,2000,DMA,8230,69650,404483808,NA,NA,0.103,0.022,27.27,1.473,0.254,0.194,NA,NA,NA,NA,NA,NA,1.729,NA,NA,NA,1.729,NA,7599.157,1.309,NA,NA,NA,NA,2.872,3.589,0.04,0.574,0.03,0.431,0.103,1.473,NA,NA,0.529,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0.25,0.2,NA,NA
364,Dominica,2005,DMA,8700,70580,482222496,NA,NA,0.143,0,0,2.025,0.296,0.211,NA,NA,NA,NA,NA,NA,2.345,NA,NA,NA,2.345,NA,9582.356,1.403,NA,NA,NA,NA,3.117,2.975,0.04,0.567,0.02,0.283,0.143,2.025,NA,NA,0.676,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0.21,0.22,NA,NA
365,Dominica,2010,DMA,10278,70877,640098880,NA,NA,0.172,0.011,6.82,2.43,0.269,0.221,NA,NA,NA,NA,NA,NA,3.169,NA,NA,NA,3.169,NA,10991.776,1.217,NA,NA,NA,NA,3.527,3.386,0.04,0.564,0.02,0.282,0.172,2.43,NA,NA,0.779,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0.24,0.25,NA,NA
366,Dominica,2015,DMA,10215,71175,689606016,NA,NA,0.176,0,0,2.471,0.255,0.216,NA,NA,NA,NA,NA,NA,4.008,NA,NA,NA,4.008,NA,11423.501,1.179,NA,NA,NA,NA,3.512,3.372,0.04,0.562,0.02,0.281,0.176,2.471,NA,NA,0.813,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0.24,0.25,NA,NA
367,Dominican Republic,1990,DOM,5516,7133491,27899936768,0.458,0.064,8.936,-1.322,-12.89,1.253,0.32,0.22,0.026,0.004,9.334,1.308,0.335,11.247,166.03,1.751,NA,NA,153.032,NA,5699.71,1.457,NA,NA,NA,NA,2.209,1.193,5.97,0.837,1.93,0.271,8.453,1.185,NA,NA,40.659,0.09,0.04,0,0.09,0.02,0,NA,NA,0.06,NA,NA,NA,0.09,NA,8.51,15.76,0.398,4.45
368,Dominican Republic,1995,DOM,6577,7819239,37276688384,0.623,0.08,15.107,3.311,28.06,1.932,0.405,0.326,0.293,0.038,14.89,1.904,0.399,14.084,224.099,3.158,NA,NA,206.856,NA,5918.602,1.241,NA,NA,NA,NA,2.728,1.801,7.33,0.937,2.12,0.271,14.191,1.815,NA,NA,46.279,0.1,0.06,0,0.09,0.02,0,NA,NA,0.07,NA,NA,NA,0.15,NA,14.08,21.33,-0.217,-1.44
369,Dominican Republic,2000,DOM,8289,8471317,56344829952,1.068,0.126,18.992,1.17,6.57,2.242,0.337,0.221,0.246,0.029,23.238,2.743,0.412,18.42,312.45,5.452,NA,NA,288.578,NA,10163.768,1.528,NA,NA,NA,NA,3.205,2.35,6.29,0.743,2.02,0.238,17.679,2.087,NA,NA,86.1,0.15,0.08,0,0.1,0.03,0,NA,NA,0.08,NA,NA,NA,0.17,NA,19.91,27.15,4.246,22.36
370,Dominican Republic,2005,DOM,9150,9097262,72784388096,1.141,0.125,17.941,0.607,3.5,1.972,0.247,0.216,1.264,0.139,20.615,2.266,0.283,24.312,409.162,12.739,NA,1.279,370.832,NA,9111.097,1.139,NA,NA,0.473,0.052,3.143,2.938,7.08,0.778,2.57,0.283,15.063,1.656,NA,NA,82.886,0.12,0.06,0.01,0.11,0.03,0,NA,0,0.09,NA,NA,0.01,0.14,NA,26.73,28.59,2.675,14.91
371,Dominican Republic,2010,DOM,11365,9695117,107260354560,1.615,0.167,20.553,0.773,3.91,2.12,0.192,0.234,1.851,0.191,24.595,2.537,0.229,32.3,508.933,22.563,NA,6.174,447.897,NA,9056.063,0.819,NA,NA,1.466,0.151,3.38,3.181,8.47,0.874,3.04,0.314,15.622,1.611,NA,NA,87.8,0.13,0.06,0.01,0.11,0.04,0,NA,0,0.09,NA,NA,0.02,0.14,NA,30.84,32.77,4.041,19.66
372,Dominican Republic,2015,DOM,13717,10281675,138611523584,2.009,0.195,23.495,1.694,7.77,2.285,0.169,0.241,2.89,0.281,25.868,2.516,0.187,41.07,618.068,35.588,NA,15.909,525.5,NA,9467.604,0.702,NA,NA,2.026,0.197,3.549,3.438,8.75,0.851,3.13,0.304,16.57,1.612,NA,NA,97.343,0.14,0.07,0.02,0.12,0.04,0,NA,0.01,0.1,NA,NA,0.03,0.14,NA,35.35,36.49,2.374,10.1
373,Ecuador,1990,ECU,7463,10230931,64188502016,1.018,0.1,16.458,-3.696,-18.34,1.609,0.256,0.206,NA,NA,16.993,1.661,0.265,14.638,317.859,NA,17.987,5.031,280.203,NA,7915.418,1.262,1.671,0.163,0.509,0.05,3.611,7.186,17.8,1.74,3.69,0.361,13.26,1.296,NA,NA,80.982,0.2,0.07,NA,0.12,0.04,NA,0.22,0.01,0.1,NA,0.66,0.01,0.14,NA,73.52,36.94,0.535,3.25
374,Ecuador,1995,ECU,7716,11455205,78692040704,1.179,0.103,22.686,9.147,67.56,1.98,0.288,0.242,NA,NA,22.657,1.978,0.288,19.795,416.291,NA,25.124,7.581,363.791,NA,8277.303,1.205,1.484,0.13,0.465,0.041,4.137,7.33,22.2,1.938,4.28,0.374,19.558,1.707,NA,NA,94.818,0.19,0.1,NA,0.13,0.05,NA,0.27,0.01,0.12,NA,0.63,0.01,0.21,NA,83.97,47.39,-0.03,-0.13
375,Ecuador,2000,ECU,7357,12681123,85978873856,1.256,0.099,20.562,-0.802,-3.75,1.622,0.239,0.2,NA,NA,20.875,1.646,0.243,25.92,522.762,NA,31.961,9.893,454.988,NA,8211.325,1.211,1.509,0.119,0.473,0.037,3.795,6.678,21.84,1.722,4.1,0.323,17.324,1.366,NA,NA,104.129,0.18,0.08,NA,0.14,0.05,NA,0.3,0.01,0.12,NA,0.56,0.01,0.17,NA,84.69,48.12,0.312,1.52
376,Ecuador,2005,ECU,8551,13825839,112806723584,1.57,0.114,29.97,1.184,4.11,2.168,0.266,0.251,NA,NA,33.161,2.398,0.294,32.945,655.957,NA,39.798,13.81,569.404,NA,8731.824,1.07,1.499,0.108,0.894,0.065,4.329,6.396,26.65,1.928,4.78,0.346,26.007,1.881,NA,NA,120.725,0.16,0.1,NA,0.15,0.06,NA,0.33,0.01,0.14,NA,0.45,0.02,0.23,NA,88.43,59.85,3.192,10.65
377,Ecuador,2010,ECU,9305,15011114,137955147776,2.088,0.139,34.826,2.322,7.15,2.32,0.252,0.227,NA,NA,42.292,2.817,0.307,42.936,815.439,NA,46.866,18.782,706.856,NA,10338.622,1.125,1.246,0.083,1.158,0.077,4.719,6.622,27.69,1.845,5.5,0.366,30.335,2.021,NA,NA,155.194,0.17,0.1,NA,0.15,0.06,NA,0.34,0.01,0.15,NA,0.34,0.02,0.27,NA,99.41,70.84,7.467,21.44
378,Ecuador,2015,ECU,10704,16212022,173044858880,2.445,0.151,40.759,-2.448,-5.66,2.514,0.235,0.22,NA,NA,48.693,3.003,0.281,55.188,1013.32,NA,53.248,25.985,878.9,NA,11599.179,1.087,1.337,0.083,1.535,0.095,4.57,5.623,27.06,1.669,4.86,0.3,35.442,2.186,NA,NA,188.046,0.17,0.11,NA,0.16,0.07,NA,0.34,0.01,0.16,NA,0.36,0.02,0.3,NA,91.16,74.09,7.933,19.46
379,Egypt,1990,EGY,5898,56134476,227979902976,6.767,0.121,75.218,3.313,4.61,1.34,0.33,0.193,3.36,0.06,81.787,1.457,0.359,79.736,1405.401,59.914,NA,95.004,1150.539,NA,6971.179,1.716,NA,NA,13.015,0.232,2.388,2.381,31.31,0.558,12.48,0.222,52.075,0.928,NA,NA,391.323,1.36,0.33,0.04,0.66,0.17,0.01,NA,0.12,0.43,NA,NA,0.34,0.56,NA,133.65,134.06,6.569,8.73
380,Egypt,1995,EGY,6282,62334024,305979195392,8.325,0.134,94.89,10.335,12.22,1.522,0.31,0.218,2.451,0.039,98.683,1.583,0.322,119.227,1834.361,74.76,NA,190.706,1429.46,NA,7023.782,1.431,NA,NA,26.011,0.417,2.467,2.461,42.51,0.682,15.73,0.252,58.104,0.932,NA,NA,437.821,1.33,0.4,0.03,0.8,0.2,0.02,NA,0.19,0.45,NA,NA,0.62,0.62,NA,153.38,153.79,3.793,4
381,Egypt,2000,EGY,7504,68831560,443940929536,11.168,0.162,140.35,15.854,12.73,2.039,0.316,0.248,3.144,0.046,138.031,2.005,0.311,169.002,2421.754,89.483,NA,342.112,1800.951,NA,8259.778,1.281,NA,NA,40.718,0.592,2.699,2.693,50.86,0.739,18.65,0.271,85.32,1.24,NA,NA,568.533,1.56,0.56,0.03,0.92,0.23,0.02,NA,0.28,0.49,NA,NA,0.86,0.83,NA,185.36,185.77,-2.318,-1.65
382,Egypt,2005,EGY,8137,75523576,599346511872,14.145,0.187,165.044,15.9,10.66,2.185,0.275,0.236,3.067,0.041,152.812,2.023,0.255,232.204,3132.48,104.509,NA,622.902,2152.658,NA,9260.904,1.167,NA,NA,68.622,0.909,3.236,3.234,59.17,0.783,21.06,0.279,79.21,1.049,NA,NA,699.417,1.47,0.56,0.03,1.03,0.26,0.02,NA,0.42,0.51,NA,NA,1.27,0.71,NA,244.26,244.43,-12.232,-7.41
383,Egypt,2010,EGY,10019,82761240,895092326400,20.514,0.248,200.841,-2.328,-1.15,2.427,0.224,0.223,4.126,0.05,202.485,2.447,0.226,321.554,4093.182,120.022,NA,1024.91,2606.489,NA,10815.592,1,NA,NA,81.948,0.99,3.503,3.501,62.71,0.758,24.15,0.292,94.255,1.139,NA,NA,895.112,1.64,0.6,0.03,1.14,0.31,0.02,NA,0.58,0.55,NA,NA,1.32,0.83,NA,289.78,289.95,1.643,0.82
384,Egypt,2015,EGY,10243,92442544,1058643968000,21.648,0.234,219.167,-2.501,-1.13,2.371,0.207,0.224,1.345,0.014,229.091,2.478,0.216,425.242,5162.711,128.064,NA,1466.759,3122.439,NA,10511.614,0.918,NA,NA,84.151,0.91,3.433,3.443,65.54,0.709,22.37,0.242,112.023,1.212,NA,NA,971.72,1.51,0.62,0.01,1.2,0.34,0.02,NA,0.7,0.59,NA,NA,1.24,0.94,NA,318.29,317.38,9.924,4.53
385,El Salvador,1990,SLV,4512,5270074,17260965888,0.277,0.052,2.475,-0.072,-2.83,0.47,0.143,0.157,NA,NA,4.017,0.762,0.233,4.838,57.677,NA,NA,NA,52.839,NA,2982.455,0.911,NA,NA,NA,NA,1.302,1.509,3.22,0.611,1.25,0.237,2.198,0.417,NA,NA,15.718,0.06,0.01,NA,0.04,0.01,NA,NA,NA,0.02,NA,NA,NA,0.02,NA,7.95,6.86,1.542,62.31
386,El Salvador,1995,SLV,5324,5628602,25119266816,0.382,0.068,4.998,0.486,10.76,0.888,0.199,0.201,0.004,0.001,6.524,1.159,0.26,6.429,77.635,0.011,NA,NA,71.195,NA,4412.569,0.989,NA,NA,NA,NA,1.666,1.86,3.25,0.577,1.15,0.204,4.613,0.82,NA,NA,24.837,0.06,0.02,0,0.04,0.01,0,NA,NA,0.02,NA,NA,NA,0.05,NA,10.47,9.38,1.525,30.51
387,El Salvador,2000,SLV,5612,5887930,31478454272,0.453,0.077,5.671,0.083,1.49,0.963,0.18,0.193,0.004,0.001,8.215,1.395,0.261,8.62,104.455,0.029,NA,NA,95.806,NA,4993.718,0.934,NA,NA,NA,NA,1.719,1.902,3.27,0.555,1.17,0.199,5.214,0.886,NA,NA,29.403,0.06,0.02,0,0.05,0.01,0,NA,NA,0.03,NA,NA,NA,0.05,NA,11.2,10.12,2.544,44.85
388,El Salvador,2005,SLV,5888,6052124,38001442816,0.464,0.077,6.298,0.044,0.7,1.041,0.166,0.183,0.004,0.001,8.903,1.471,0.234,11.239,135.369,0.044,NA,NA,124.086,NA,5688.374,0.906,NA,NA,NA,NA,2.034,2.214,3.94,0.651,1.45,0.24,5.83,0.963,NA,NA,34.427,0.05,0.02,0,0.05,0.01,0,NA,NA,0.03,NA,NA,NA,0.05,NA,13.4,12.31,2.605,41.36
389,El Salvador,2010,SLV,6281,6183877,43862777856,0.507,0.082,6.319,0.006,0.1,1.022,0.144,0.17,0.004,0.001,8.434,1.364,0.192,13.796,167.968,0.062,NA,NA,154.11,NA,6014.149,0.848,NA,NA,NA,NA,1.971,2.146,4,0.647,1.49,0.241,5.808,0.939,NA,NA,37.191,0.04,0.02,0,0.05,0.01,0,NA,NA,0.03,NA,NA,NA,0.05,NA,13.27,12.19,2.116,33.48
390,El Salvador,2015,SLV,6979,6325121,50319724544,0.388,0.061,6.675,0.524,8.52,1.055,0.133,0.173,0.004,0.001,8.602,1.36,0.171,16.09,199.86,0.081,NA,NA,183.69,NA,6109.708,0.768,NA,NA,NA,NA,1.932,2.107,3.71,0.587,1.27,0.201,6.284,0.993,NA,NA,38.645,0.03,0.02,0,0.05,0.01,0,NA,NA,0.03,NA,NA,NA,0.05,NA,13.33,12.22,1.927,28.86
391,Equatorial Guinea,1990,GNQ,1018,419188,917854016,NA,NA,0.062,-0.055,-46.88,0.149,0.068,0.122,NA,NA,NA,NA,NA,NA,2.012,NA,NA,NA,2.012,NA,1213.533,0.554,NA,NA,NA,NA,0.406,9.566,0.1,0.239,0.01,0.024,0.062,0.149,NA,NA,0.509,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,4.01,0.17,NA,NA
392,Equatorial Guinea,1995,GNQ,1743,496768,1433333504,NA,NA,0.084,0.007,9.52,0.17,0.059,0.166,NA,NA,NA,NA,NA,NA,2.374,NA,NA,NA,2.374,NA,1023.848,0.355,NA,NA,NA,NA,5.214,12.924,1.47,2.959,0.01,0.02,0.084,0.17,NA,NA,0.509,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,6.42,2.59,NA,NA
393,Equatorial Guinea,2000,GNQ,10938,606180,6341192192,NA,NA,0.616,0.209,51.35,1.015,0.097,0.191,NA,NA,NA,NA,NA,NA,4.093,NA,0.26,0.132,3.7,NA,5368.956,0.513,0.183,0.302,0.059,0.097,11.317,17.635,4.57,7.539,0.02,0.033,0.374,0.617,NA,NA,3.255,NA,0,NA,NA,0,NA,0,0,0,NA,0.07,0,0,NA,10.69,6.86,NA,NA
394,Equatorial Guinea,2005,GNQ,31698,749527,20168024064,NA,NA,8.039,-1.924,-19.31,10.725,0.399,0.352,NA,NA,NA,NA,NA,NA,40.802,NA,27.406,5.541,7.855,NA,30175.348,1.121,4.378,5.842,2.495,3.329,21.48,26.59,7.68,10.246,0.03,0.04,1.165,1.554,NA,NA,22.617,NA,0.03,NA,NA,0,NA,0.23,0,0,NA,1.32,0.05,0.01,NA,19.93,16.1,NA,NA
395,Equatorial Guinea,2010,GNQ,33990,943640,27366670336,NA,NA,6.804,1.396,25.81,7.21,0.249,0.221,NA,NA,NA,NA,NA,NA,71.825,NA,40.737,17.014,14.075,NA,32654.828,1.126,2.51,2.66,3.048,3.23,17.538,21.597,6.44,6.825,0.04,0.042,1.246,1.32,NA,NA,30.814,NA,0.02,NA,NA,0.01,NA,0.29,0.01,0,NA,0.68,0.05,0.01,NA,20.38,16.55,NA,NA
396,Equatorial Guinea,2015,GNQ,27709,1168575,28026101760,NA,NA,10.834,-0.344,-3.08,9.271,0.387,0.384,NA,NA,NA,NA,NA,NA,124.056,NA,63.419,39.963,20.674,NA,24132.994,1.006,4.847,4.148,4.646,3.976,12.211,15.489,7.42,6.35,0.04,0.034,1.341,1.148,NA,NA,28.201,NA,0.03,NA,NA,0.01,NA,0.4,0.02,0,NA,1.3,0.07,0.01,NA,18.1,14.27,NA,NA
397,Eritrea,1990,ERI,NA,2258649,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.634,1.824,2.47,1.094,1.23,0.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.12,3.69,NA,NA
398,Eritrea,1995,ERI,2224,2204227,NA,0.02,0.009,0.823,0.079,10.61,0.373,NA,0.185,NA,NA,NA,NA,NA,0.108,1.636,NA,NA,NA,1.528,NA,2018.466,NA,NA,NA,NA,NA,1.951,2.155,2.41,1.093,1.1,0.499,0.802,0.364,NA,NA,4.449,0,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,0.01,NA,4.75,4.3,NA,NA
399,Eritrea,2000,ERI,2485,2292413,NA,0.018,0.008,0.604,-0.011,-1.79,0.264,NA,0.233,NA,NA,NA,NA,NA,0.206,5.149,NA,NA,NA,4.943,NA,1133.844,NA,NA,NA,NA,NA,2.421,2.622,3.29,1.435,1.64,0.715,0.586,0.256,NA,NA,2.599,0,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,0.01,NA,6.01,5.55,NA,NA
